name;modelo;link;price;km;ciudad
Kia Cerato Pro 1.6l 130 Hp;2017;https://carro.mercadolibre.com.co/MCO-803940058-kia-cerato-pro-2017-16l-130hp-mecanico-_JM#position=7&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;49500000;51000;Cali
Kia Cerato Pro 1.6l;2015;https://carro.mercadolibre.com.co/MCO-805333788-kia-cerato-pro-2015-16l-_JM#position=8&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;43000000;89000;Cali
Kia Cerato Pro 1.6l;2014;https://carro.mercadolibre.com.co/MCO-807852000-kia-cerato-pro-2014-16l-_JM#position=9&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;41000000;103000;Cali
Kia Cerato Pro 1.6l;2014;https://carro.mercadolibre.com.co/MCO-657813487-kia-cerato-2014-pro-_JM#position=10&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;40500000;75000;El Limonar - Cali
Kia Cerato Forte 1.6;2010;https://carro.mercadolibre.com.co/MCO-807306299-kia-cerato-forte-2010-16-_JM#position=11&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;28000000;111000;Cali
Kia Cerato Forte 2.0;2010;https://carro.mercadolibre.com.co/MCO-651009298-kia-cerato-forte-20-_JM#position=12&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;28300000;112300;Panamericano - Cali
Kia Cerato Forte 1.6;2012;https://carro.mercadolibre.com.co/MCO-802218767-kia-cerato-forte-2012-16-_JM#position=13&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;28700000;110000;Cali
Kia Cerato 1.6;2016;https://carro.mercadolibre.com.co/MCO-807273625-kia-cerato-2016-16-_JM#position=14&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;47000000;70000;Cali
Kia Cerato Forte 1.6;2012;https://carro.mercadolibre.com.co/MCO-805586034-kia-cerato-forte-2012-16-_JM#position=15&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;29900000;138000;Cali
Kia Cerato 1.6 Lx;2005;https://carro.mercadolibre.com.co/MCO-808418140-kia-cerato-ciclon-2005-_JM#position=16&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;15000000;138632;Urbanización La Nueva Base - Cali
Kia Cerato Pro 1.6l;2016;https://carro.mercadolibre.com.co/MCO-806399997-kia-cerato-pro-ve-modelo-2016-_JM#position=17&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;39000000;96608;Obrero - Palmira
Kia Cerato Pro 1.6l;2015;https://carro.mercadolibre.com.co/MCO-801095399-kia-cerato-pro-2015-16l-_JM#position=18&search_layout=grid&type=item&tracking_id=89194cc2-616b-4835-b5a0-fc37401f856d;42000000;62000;Palmira
Ford Fiesta 1.6 Hatchback Mecánica;2013;https://carro.mercadolibre.com.co/MCO-658621931-ford-fiesta-titanium-2013-_JM#position=1&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;31500000;56000;Cartago
Ford Fiesta Se;2019;https://carro.mercadolibre.com.co/MCO-649081792-ford-fiesta-se-_JM#position=2&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;44900000;18095;Corregimiento Santa Elena - El Cerrito
Ford Fiesta 1.6 Sportback Mecánica;2013;https://carro.mercadolibre.com.co/MCO-803895291-ford-fiesta-2013-16-sportback-mecanica-_JM#position=3&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;30500000;97000;Cali
Ford Fiesta 1.6 Sportback Mecánica;2012;https://carro.mercadolibre.com.co/MCO-807268250-ford-fiesta-2012-16-sportback-mecanica-_JM#position=4&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;29800000;78600;Cali
Ford Fiesta 1.6 Sportback Mecánica;2011;https://carro.mercadolibre.com.co/MCO-806078303-ford-fiesta-2011-16-sportback-mecanica-_JM#position=5&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;26200000;167000;Buga
Ford Fiesta 1.6 Sportback Mecánica;2011;https://carro.mercadolibre.com.co/MCO-807397347-ford-fiesta-2011-_JM#position=6&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;24500000;150000;Valle Del Lili - Cali
Ford Fiesta 1.6 Sportback Titanium;2014;https://carro.mercadolibre.com.co/MCO-808604652-ford-fiesta-2014-16-sportback-titanium-_JM#position=7&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;35500000;71000;Cali
Ford Fiesta 1.6 Sportback Se Mecánica;2015;https://carro.mercadolibre.com.co/MCO-803635011-ford-fiesta-se-2015-sedan-_JM#position=8&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;33999999;79750;Colseguros Andes - Cali
Ford Fiesta 1.6 Hatchback Titanium;2016;https://carro.mercadolibre.com.co/MCO-804674805-ford-fiesta-2016-16-hatchback-titanium-_JM#position=9&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;42000000;42000;Cali
Ford Fiesta 1.3;1998;https://carro.mercadolibre.com.co/MCO-805637905-ford-modelo-1998-5-puertas-motivos-personales-_JM#position=10&search_layout=grid&type=item&tracking_id=8e1f02d2-05bb-42a8-911f-cf126896949a;4000000;1000000;La Independencia - Cali
