name;modelo;link;price;km;ciudad
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-612250729-chevrolet-spark-gt-_JM#position=21&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;37200000;22000;Cali
Chevrolet Spark Gt 2016;2016;https://carro.mercadolibre.com.co/MCO-609626078-chevrolet-spark-gt-2016-_JM#position=22&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;26000000;90000;Cali
Chevrolet Spark 1.2 Gt M300 Ltz Mecánica;2017;https://carro.mercadolibre.com.co/MCO-611333343-chevrolet-spark-2017-12-gt-m300-ltz-mecanica-_JM#position=23&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;26500000;78000;Cali
Chevrolet Spark Gt 1.2 Ltz;2018;https://carro.mercadolibre.com.co/MCO-612879593-chevrolet-spark-gt-2018-12-ltz-_JM#position=24&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;29600000;40000;Tuluá
Chevrolet Spark Gt Full Equipo;2014;https://carro.mercadolibre.com.co/MCO-612887507-chevrolet-spark-gt-modelo-2014-_JM#position=25&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;26000000;103400;Palmira
Chevrolet Spark 1.2 Gt M300 Ltz;2016;https://carro.mercadolibre.com.co/MCO-610246150-chevrolet-spark-2016-12-gt-m300-ltz-_JM#position=26&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;28500000;35000;Cali
Chevrolet Spark Gt Ltz Version Más Full;2015;https://carro.mercadolibre.com.co/MCO-611269723-chevrolet-spark-gt-ltz-version-mas-full-_JM#position=27&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;27000000;79000;Tuluá
Chevrolet Spark Gt 1.2 Ltz;2018;https://carro.mercadolibre.com.co/MCO-611159606-chevrolet-spark-gt-2018-12-ltz-_JM#position=28&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;30600000;40000;Cali
Chevrolet Spark Gt 2015;2015;https://carro.mercadolibre.com.co/MCO-611703361-chevrolet-spark-gt-2015-_JM#position=29&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;26000000;6000;Buenaventura
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-608898500-chevrolet-spark-gt-2019-12-ltz-_JM#position=30&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;35000000;26000;Cali
Chevrolet Spark Gt 1.2 Ltz;2018;https://carro.mercadolibre.com.co/MCO-612890158-chevrolet-spark-gt-12-ltz-_JM#position=31&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;31000000;28674;Tuluá
Chevrolet Spark Gt 1.2 Ls;2021;https://carro.mercadolibre.com.co/MCO-609125919-chevrolet-spark-gt-12-ls-_JM#position=32&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;5000000;1;Palmira
Chevrolet Spark Gt Ltz Full;2014;https://carro.mercadolibre.com.co/MCO-612555122-chevrolet-spark-gt-ltz-full-_JM#position=33&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;25500000;103000;Cali
Chevrolet Spark Gt 2014;2014;https://carro.mercadolibre.com.co/MCO-612953567-chevrolet-spark-gt-2014-_JM#position=34&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;23990000;89000;Cali
Chevrolet Spark Gt Gt;2011;https://carro.mercadolibre.com.co/MCO-613166269-chevrolet-spark-gt-gt-_JM#position=35&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;21500000;65000;Cali
Chevrolet Spark Gt 1.2 Ltz;2019;https://carro.mercadolibre.com.co/MCO-610228810-chevrolet-spark-gt-premier-_JM#position=36&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;34000000;17600;Cali
Chevrolet Spark Gt Ltz;2017;https://carro.mercadolibre.com.co/MCO-612514851-chevrolet-spark-gt-ltz-_JM#position=37&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;27800000;88000;Cali
Chevrolet Spark Gt Full;2014;https://carro.mercadolibre.com.co/MCO-608881567-chevrolet-spark-gt-full-_JM#position=38&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;23000000;92580;Cali
Chevrolet Spark Gt Ltz;2013;https://carro.mercadolibre.com.co/MCO-610866484-chevrolet-spark-gt-ltz-_JM#position=39&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;23;59000;Cali
Chevrolet Spark Gt Aa Dh Ve;2011;https://carro.mercadolibre.com.co/MCO-608395324-chevrolet-spark-gt-2011-_JM#position=40&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;20800000;124600;Cali
Chevrolet Spark Gt Full Equipo;2014;https://carro.mercadolibre.com.co/MCO-611892509-chevrolet-spark-gt-_JM#position=41&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;23700000;78000;Cali
Chevrolet Spark Gt Gt;2015;https://carro.mercadolibre.com.co/MCO-606281623-chevrolet-spark-gt-2015-_JM#position=42&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;23500000;109000;Cali
Chevrolet Spark Gt 1.2;2013;https://carro.mercadolibre.com.co/MCO-612609225-chevrolet-spark-gt-_JM#position=43&type=item&tracking_id=ee56230b-e2a7-4d9f-b1ea-5db07c64e708;21500000;73400;Cali
Kia Cerato Pro 1.6l;2016;https://carro.mercadolibre.com.co/MCO-612672955-kia-cerato-pro-2016-16l-_JM#position=1&type=item&tracking_id=8932024d-482d-4976-85f7-b1694a50f5d6;45500000;43510;Cali
Kia Cerato Forte 2.0;2011;https://carro.mercadolibre.com.co/MCO-607295422-kia-cerato-forte-2011-20-_JM#position=2&type=item&tracking_id=8932024d-482d-4976-85f7-b1694a50f5d6;26500000;145000;Cali
Kia Cerato Pro 1.6l 130 Hp;2017;https://carro.mercadolibre.com.co/MCO-606088590-kia-cerato-pro-16l-130-hp-_JM#position=3&type=item&tracking_id=8932024d-482d-4976-85f7-b1694a50f5d6;49000000;54000;Cali
Kia Cerato Pro 1.6l;2016;https://carro.mercadolibre.com.co/MCO-604972533-kia-cerato-pro-16-mecanico-2016-_JM#position=4&type=item&tracking_id=8932024d-482d-4976-85f7-b1694a50f5d6;40300000;70000;Cali
Kia Cerato Forte 1.6;2012;https://carro.mercadolibre.com.co/MCO-607683702-kia-cerato-forte-2012-16-_JM#position=5&type=item&tracking_id=8932024d-482d-4976-85f7-b1694a50f5d6;29500000;102457;Cali
Kia Cerato Kia Cerato New Vivro 1.6 L Mt 2021  0 Km.;2021;https://carro.mercadolibre.com.co/MCO-551676142-kia-cerato-new-vivro-16-l-mt-2021-0-km-_JM#position=6&type=item&tracking_id=8932024d-482d-4976-85f7-b1694a50f5d6;75790000;0;Cali
Kia Cerato Kia Cerato Vivro 1.6 L Mt 2021  0 Km.;2021;https://carro.mercadolibre.com.co/MCO-551631596-kia-cerato-vivro-16-l-mt-2021-0-km-_JM#position=7&type=item&tracking_id=8932024d-482d-4976-85f7-b1694a50f5d6;75790000;0;Cali
